id,content,gold,prediction,error_type,root_cause,fix_strategy
EV_001,Search results take twelve seconds to appear in my large workspace,high,medium,E2_SEVERITY_RULE,Severity was classified medium instead of high.,Tighten workflow-impact and critical/high boundary definitions.
EV_002,Search filters are confusing and I cannot tell which ones are active,complaint,request,E8_OTHER,Intent was classified request instead of complaint.,Clarify complaint/request/suggestion/question decision order.
EV_003,The export button does nothing after I click it,bug,feature_request,E1_CATEGORY_BOUNDARY,Category boundary selected feature_request instead of bug.,Clarify this category boundary with a minimal decision rule or example.
EV_004,Please add a yearly filter to search,request,suggestion,E8_OTHER,Intent was classified suggestion instead of request.,Clarify complaint/request/suggestion/question decision order.
EV_005,The app crashes every time I open my main notebook,critical,high,E2_SEVERITY_RULE,Severity was classified high instead of critical.,Tighten workflow-impact and critical/high boundary definitions.
EV_006,NovaNote feels fast after the latest update,praise,suggestion,E8_OTHER,Intent was classified suggestion instead of praise.,Clarify complaint/request/suggestion/question decision order.
EV_007,Is there a way to export all notebooks at once?,question,suggestion,E8_OTHER,Intent was classified suggestion instead of question.,Clarify complaint/request/suggestion/question decision order.
EV_008,The Pro plan price increased and is now too expensive for me,medium,low,E2_SEVERITY_RULE,Severity was classified low instead of medium.,Tighten workflow-impact and critical/high boundary definitions.
EV_009,The pricing page clearly explains every plan,pricing,feature_request,E1_CATEGORY_BOUNDARY,Category boundary selected feature_request instead of pricing.,Clarify this category boundary with a minimal decision rule or example.
EV_010,The help article for workspace recovery is outdated,complaint,request,E8_OTHER,Intent was classified request instead of complaint.,Clarify complaint/request/suggestion/question decision order.
EV_012,Support has not replied to my billing ticket for six days,high,medium,E2_SEVERITY_RULE,Severity was classified medium instead of high.,Tighten workflow-impact and critical/high boundary definitions.
EV_013,The sidebar labels are hard to understand,medium,low,E2_SEVERITY_RULE,Severity was classified low instead of medium.,Tighten workflow-impact and critical/high boundary definitions.
EV_014,Please let me customize the sidebar order,suggestion,request,E8_OTHER,Intent was classified request instead of suggestion.,Clarify complaint/request/suggestion/question decision order.
EV_015,Sync occasionally duplicates the same note,complaint,request,E8_OTHER,Intent was classified request instead of complaint.,Clarify complaint/request/suggestion/question decision order.
EV_016,Startup uses too much memory and slows my laptop,complaint,request,E8_OTHER,Intent was classified request instead of complaint.,Clarify complaint/request/suggestion/question decision order.
