id,content,rating,date,source
FB_001,"Search cannot find a note I saved last month",2,2026-08-01,App Store
FB_002,"Search results are slow when my workspace is large",2,2026-08-02,Survey
FB_003,"The app crashes when I open a large notebook",1,2026-08-03,App Store
FB_004,"NovaNote freezes after the V3.2 update",1,2026-08-04,Customer Service
FB_005,"The paid plan limits are difficult to understand",3,2026-08-05,Community
FB_006,"I need to export several notebooks at once",3,2026-08-06,Survey
FB_007,"The verification code arrives after it has expired",2,2026-08-07,Customer Service
FB_008,"The editor toolbar is hard to scan on a small screen",3,2026-08-08,Community
FB_009,"Search cannot find a note I saved last month",2,2026-08-09,App Store
FB_010,"Search results are slow when my workspace is large",2,2026-08-10,Survey
FB_011,"The app crashes when I open a large notebook",1,2026-08-11,App Store
FB_012,"NovaNote freezes after the V3.2 update",1,2026-08-12,Customer Service
FB_013,"The paid plan limits are difficult to understand",3,2026-08-13,Community
FB_014,"I need to export several notebooks at once",3,2026-08-14,Survey
FB_015,"The verification code arrives after it has expired",2,2026-08-01,Customer Service
FB_016,"The editor toolbar is hard to scan on a small screen",3,2026-08-02,Community
FB_017,"Search cannot find a note I saved last month",2,2026-08-03,App Store
FB_018,"Search results are slow when my workspace is large",2,2026-08-04,Survey
FB_019,"The app crashes when I open a large notebook",1,2026-08-05,App Store
FB_020,"NovaNote freezes after the V3.2 update",1,2026-08-06,Customer Service
FB_021,"The paid plan limits are difficult to understand",3,2026-08-07,Community
FB_022,"I need to export several notebooks at once",3,2026-08-08,Survey
FB_023,"The verification code arrives after it has expired",2,2026-08-09,Customer Service
FB_024,"The editor toolbar is hard to scan on a small screen",3,2026-08-10,Community
FB_025,"Search cannot find a note I saved last month",2,2026-08-11,App Store
FB_026,"Search results are slow when my workspace is large",2,2026-08-12,Survey
FB_027,"The app crashes when I open a large notebook",1,2026-08-13,App Store
FB_028,"NovaNote freezes after the V3.2 update",1,2026-08-14,Customer Service
FB_029,"The paid plan limits are difficult to understand",3,2026-08-01,Community
FB_030,"I need to export several notebooks at once",3,2026-08-02,Survey
FB_031,"The verification code arrives after it has expired",2,2026-08-03,Customer Service
FB_032,"The editor toolbar is hard to scan on a small screen",3,2026-08-04,Community
FB_033,"Search cannot find a note I saved last month",2,2026-08-05,App Store
FB_034,"Search results are slow when my workspace is large",2,2026-08-06,Survey
FB_035,"The app crashes when I open a large notebook",1,2026-08-07,App Store
FB_036,"NovaNote freezes after the V3.2 update",1,2026-08-08,Customer Service
FB_037,"The paid plan limits are difficult to understand",3,2026-08-09,Community
FB_038,"I need to export several notebooks at once",3,2026-08-10,Survey
FB_039,"The verification code arrives after it has expired",2,2026-08-11,Customer Service
FB_040,"The editor toolbar is hard to scan on a small screen",3,2026-08-12,Community
FB_041,"Search cannot find a note I saved last month",2,2026-08-13,App Store
FB_042,"Search results are slow when my workspace is large",2,2026-08-14,Survey
FB_043,"The app crashes when I open a large notebook",1,2026-08-01,App Store
FB_044,"NovaNote freezes after the V3.2 update",1,2026-08-02,Customer Service
FB_045,"The paid plan limits are difficult to understand",3,2026-08-03,Community
FB_046,"I need to export several notebooks at once",3,2026-08-04,Survey
FB_047,"The verification code arrives after it has expired",2,2026-08-05,Customer Service
FB_048,"The editor toolbar is hard to scan on a small screen",3,2026-08-06,Community
FB_049,"Search cannot find a note I saved last month",2,2026-08-07,App Store
FB_050,"Search results are slow when my workspace is large",2,2026-08-08,Survey
FB_051,"The app crashes when I open a large notebook",1,2026-08-09,App Store
FB_052,"NovaNote freezes after the V3.2 update",1,2026-08-10,Customer Service
FB_053,"The paid plan limits are difficult to understand",3,2026-08-11,Community
FB_054,"I need to export several notebooks at once",3,2026-08-12,Survey
FB_055,"The verification code arrives after it has expired",2,2026-08-13,Customer Service
FB_056,"The editor toolbar is hard to scan on a small screen",3,2026-08-14,Community
FB_057,"Search cannot find a note I saved last month",2,2026-08-01,App Store
