id,content,gold_category,gold_intent,gold_sentiment,gold_severity,gold_pain_point,gold_user_need,notes
"EV_001","Search results take twelve seconds to appear in my large workspace","performance","complaint","negative","high","Slow search results","Get search results quickly during core retrieval","Base boundary sample"
"EV_002","Search filters are confusing and I cannot tell which ones are active","ux","complaint","negative","medium","Confusing search filters","Understand and control active search filters","Base boundary sample"
"EV_003","The export button does nothing after I click it","bug","complaint","negative","high","Export action failure","Reliably export work when requested","Base boundary sample"
"EV_004","Please add a yearly filter to search","feature_request","request","neutral","low","Missing historical filter","Narrow historical results efficiently","Base boundary sample"
"EV_005","The app crashes every time I open my main notebook","bug","complaint","negative","critical","Blocking notebook crash","Access core notebooks without crashes","Base boundary sample"
"EV_006","NovaNote feels fast after the latest update","performance","praise","positive","low","Improved application speed","Complete work with responsive performance","Base boundary sample"
"EV_007","Is there a way to export all notebooks at once?","feature_request","question","neutral","low","Batch export discoverability","Move multiple notebooks efficiently","Base boundary sample"
"EV_008","The Pro plan price increased and is now too expensive for me","pricing","complaint","negative","medium","Plan affordability","Choose a plan aligned with perceived value","Base boundary sample"
"EV_009","The pricing page clearly explains every plan","pricing","praise","positive","low","Clear plan comparison","Understand plan value before purchasing","Base boundary sample"
"EV_010","The help article for workspace recovery is outdated","content","complaint","negative","medium","Outdated recovery guidance","Access current recovery instructions","Base boundary sample"
"EV_011","Your support agent solved my login issue in five minutes","customer_service","praise","positive","low","Effective login support","Resolve access problems quickly","Base boundary sample"
"EV_012","Support has not replied to my billing ticket for six days","customer_service","complaint","negative","high","Delayed billing support","Receive timely help for billing blockers","Base boundary sample"
"EV_013","The sidebar labels are hard to understand","ux","complaint","negative","medium","Unclear navigation labels","Navigate product areas confidently","Base boundary sample"
"EV_014","Please let me customize the sidebar order","feature_request","suggestion","neutral","low","Fixed sidebar organization","Organize navigation around personal workflow","Base boundary sample"
"EV_015","Sync occasionally duplicates the same note","bug","complaint","negative","medium","Duplicate notes after sync","Keep synchronized content consistent","Base boundary sample"
"EV_016","Startup uses too much memory and slows my laptop","performance","complaint","negative","high","High startup resource use","Open the app without degrading the device","Base boundary sample"
"EV_017","The tutorial says to click a menu that no longer exists","content","complaint","negative","medium","Obsolete onboarding content","Follow accurate product instructions","Base boundary sample"
"EV_018","I received a verification code but the login screen was easy to use","ux","praise","positive","low","Clear verification flow","Complete authentication confidently","Base boundary sample"
"EV_019","The app is okay, but I have not used search enough to judge it","other","other","neutral","low","Insufficient usage context","Evaluate the product after adequate use","Base boundary sample"
"EV_020","Search is fast, but the results miss notes saved last month","bug","complaint","negative","high","Missing historical search results","Retrieve previously saved notes accurately","Base boundary sample"
"EV_021","Dark mode would make evening writing more comfortable","feature_request","suggestion","positive","low","Missing low-light appearance","Write comfortably in low-light settings","Base boundary sample"
"EV_022","The editor deleted my unsaved paragraph after reconnecting","bug","complaint","negative","critical","Unsaved content loss","Protect writing during connectivity changes","Base boundary sample"
"EV_023","Why was I charged twice for one monthly subscription?","pricing","question","negative","high","Duplicate subscription charge","Trust billing accuracy and understand charges","Base boundary sample"
"EV_024","The release notes are concise and useful","content","praise","positive","low","Useful release communication","Understand product changes efficiently","Base boundary sample"
"EV_025","Login takes fifteen seconds and then the verification code expires","performance","complaint","negative","high","Slow authentication flow","Access the workspace before credentials expire","Base boundary sample"
"EV_026","Search results take twelve seconds to appear in my large workspace On desktop.","performance","complaint","negative","high","Slow search results","Get search results quickly during core retrieval","Controlled wording variant 2"
"EV_027","Search filters are confusing and I cannot tell which ones are active On desktop.","ux","complaint","negative","medium","Confusing search filters","Understand and control active search filters","Controlled wording variant 2"
"EV_028","The export button does nothing after I click it On desktop.","bug","complaint","negative","high","Export action failure","Reliably export work when requested","Controlled wording variant 2"
"EV_029","Please add a yearly filter to search On desktop.","feature_request","request","neutral","low","Missing historical filter","Narrow historical results efficiently","Controlled wording variant 2"
"EV_030","The app crashes every time I open my main notebook On desktop.","bug","complaint","negative","critical","Blocking notebook crash","Access core notebooks without crashes","Controlled wording variant 2"
"EV_031","NovaNote feels fast after the latest update On desktop.","performance","praise","positive","low","Improved application speed","Complete work with responsive performance","Controlled wording variant 2"
"EV_032","Is there a way to export all notebooks at once? On desktop.","feature_request","question","neutral","low","Batch export discoverability","Move multiple notebooks efficiently","Controlled wording variant 2"
"EV_033","The Pro plan price increased and is now too expensive for me On desktop.","pricing","complaint","negative","medium","Plan affordability","Choose a plan aligned with perceived value","Controlled wording variant 2"
"EV_034","The pricing page clearly explains every plan On desktop.","pricing","praise","positive","low","Clear plan comparison","Understand plan value before purchasing","Controlled wording variant 2"
"EV_035","The help article for workspace recovery is outdated On desktop.","content","complaint","negative","medium","Outdated recovery guidance","Access current recovery instructions","Controlled wording variant 2"
"EV_036","Your support agent solved my login issue in five minutes On desktop.","customer_service","praise","positive","low","Effective login support","Resolve access problems quickly","Controlled wording variant 2"
"EV_037","Support has not replied to my billing ticket for six days On desktop.","customer_service","complaint","negative","high","Delayed billing support","Receive timely help for billing blockers","Controlled wording variant 2"
"EV_038","The sidebar labels are hard to understand On desktop.","ux","complaint","negative","medium","Unclear navigation labels","Navigate product areas confidently","Controlled wording variant 2"
"EV_039","Please let me customize the sidebar order On desktop.","feature_request","suggestion","neutral","low","Fixed sidebar organization","Organize navigation around personal workflow","Controlled wording variant 2"
"EV_040","Sync occasionally duplicates the same note On desktop.","bug","complaint","negative","medium","Duplicate notes after sync","Keep synchronized content consistent","Controlled wording variant 2"
"EV_041","Startup uses too much memory and slows my laptop On desktop.","performance","complaint","negative","high","High startup resource use","Open the app without degrading the device","Controlled wording variant 2"
"EV_042","The tutorial says to click a menu that no longer exists On desktop.","content","complaint","negative","medium","Obsolete onboarding content","Follow accurate product instructions","Controlled wording variant 2"
"EV_043","I received a verification code but the login screen was easy to use On desktop.","ux","praise","positive","low","Clear verification flow","Complete authentication confidently","Controlled wording variant 2"
"EV_044","The app is okay, but I have not used search enough to judge it On desktop.","other","other","neutral","low","Insufficient usage context","Evaluate the product after adequate use","Controlled wording variant 2"
"EV_045","Search is fast, but the results miss notes saved last month On desktop.","bug","complaint","negative","high","Missing historical search results","Retrieve previously saved notes accurately","Controlled wording variant 2"
"EV_046","Dark mode would make evening writing more comfortable On desktop.","feature_request","suggestion","positive","low","Missing low-light appearance","Write comfortably in low-light settings","Controlled wording variant 2"
"EV_047","The editor deleted my unsaved paragraph after reconnecting On desktop.","bug","complaint","negative","critical","Unsaved content loss","Protect writing during connectivity changes","Controlled wording variant 2"
"EV_048","Why was I charged twice for one monthly subscription? On desktop.","pricing","question","negative","high","Duplicate subscription charge","Trust billing accuracy and understand charges","Controlled wording variant 2"
"EV_049","The release notes are concise and useful On desktop.","content","praise","positive","low","Useful release communication","Understand product changes efficiently","Controlled wording variant 2"
"EV_050","Login takes fifteen seconds and then the verification code expires On desktop.","performance","complaint","negative","high","Slow authentication flow","Access the workspace before credentials expire","Controlled wording variant 2"
"EV_051","Search results take twelve seconds to appear in my large workspace This happened again today.","performance","complaint","negative","high","Slow search results","Get search results quickly during core retrieval","Controlled wording variant 3"
"EV_052","Search filters are confusing and I cannot tell which ones are active This happened again today.","ux","complaint","negative","medium","Confusing search filters","Understand and control active search filters","Controlled wording variant 3"
"EV_053","The export button does nothing after I click it This happened again today.","bug","complaint","negative","high","Export action failure","Reliably export work when requested","Controlled wording variant 3"
"EV_054","Please add a yearly filter to search This happened again today.","feature_request","request","neutral","low","Missing historical filter","Narrow historical results efficiently","Controlled wording variant 3"
"EV_055","The app crashes every time I open my main notebook This happened again today.","bug","complaint","negative","critical","Blocking notebook crash","Access core notebooks without crashes","Controlled wording variant 3"
"EV_056","NovaNote feels fast after the latest update This happened again today.","performance","praise","positive","low","Improved application speed","Complete work with responsive performance","Controlled wording variant 3"
"EV_057","Is there a way to export all notebooks at once? This happened again today.","feature_request","question","neutral","low","Batch export discoverability","Move multiple notebooks efficiently","Controlled wording variant 3"
"EV_058","The Pro plan price increased and is now too expensive for me This happened again today.","pricing","complaint","negative","medium","Plan affordability","Choose a plan aligned with perceived value","Controlled wording variant 3"
"EV_059","The pricing page clearly explains every plan This happened again today.","pricing","praise","positive","low","Clear plan comparison","Understand plan value before purchasing","Controlled wording variant 3"
"EV_060","The help article for workspace recovery is outdated This happened again today.","content","complaint","negative","medium","Outdated recovery guidance","Access current recovery instructions","Controlled wording variant 3"
"EV_061","Your support agent solved my login issue in five minutes This happened again today.","customer_service","praise","positive","low","Effective login support","Resolve access problems quickly","Controlled wording variant 3"
"EV_062","Support has not replied to my billing ticket for six days This happened again today.","customer_service","complaint","negative","high","Delayed billing support","Receive timely help for billing blockers","Controlled wording variant 3"
"EV_063","The sidebar labels are hard to understand This happened again today.","ux","complaint","negative","medium","Unclear navigation labels","Navigate product areas confidently","Controlled wording variant 3"
"EV_064","Please let me customize the sidebar order This happened again today.","feature_request","suggestion","neutral","low","Fixed sidebar organization","Organize navigation around personal workflow","Controlled wording variant 3"
"EV_065","Sync occasionally duplicates the same note This happened again today.","bug","complaint","negative","medium","Duplicate notes after sync","Keep synchronized content consistent","Controlled wording variant 3"
"EV_066","Startup uses too much memory and slows my laptop This happened again today.","performance","complaint","negative","high","High startup resource use","Open the app without degrading the device","Controlled wording variant 3"
"EV_067","The tutorial says to click a menu that no longer exists This happened again today.","content","complaint","negative","medium","Obsolete onboarding content","Follow accurate product instructions","Controlled wording variant 3"
"EV_068","I received a verification code but the login screen was easy to use This happened again today.","ux","praise","positive","low","Clear verification flow","Complete authentication confidently","Controlled wording variant 3"
"EV_069","The app is okay, but I have not used search enough to judge it This happened again today.","other","other","neutral","low","Insufficient usage context","Evaluate the product after adequate use","Controlled wording variant 3"
"EV_070","Search is fast, but the results miss notes saved last month This happened again today.","bug","complaint","negative","high","Missing historical search results","Retrieve previously saved notes accurately","Controlled wording variant 3"
"EV_071","Dark mode would make evening writing more comfortable This happened again today.","feature_request","suggestion","positive","low","Missing low-light appearance","Write comfortably in low-light settings","Controlled wording variant 3"
"EV_072","The editor deleted my unsaved paragraph after reconnecting This happened again today.","bug","complaint","negative","critical","Unsaved content loss","Protect writing during connectivity changes","Controlled wording variant 3"
"EV_073","Why was I charged twice for one monthly subscription? This happened again today.","pricing","question","negative","high","Duplicate subscription charge","Trust billing accuracy and understand charges","Controlled wording variant 3"
"EV_074","The release notes are concise and useful This happened again today.","content","praise","positive","low","Useful release communication","Understand product changes efficiently","Controlled wording variant 3"
"EV_075","Login takes fifteen seconds and then the verification code expires This happened again today.","performance","complaint","negative","high","Slow authentication flow","Access the workspace before credentials expire","Controlled wording variant 3"
"EV_076","Search results take twelve seconds to appear in my large workspace I noticed this in version 3.2.","performance","complaint","negative","high","Slow search results","Get search results quickly during core retrieval","Controlled wording variant 4"
"EV_077","Search filters are confusing and I cannot tell which ones are active I noticed this in version 3.2.","ux","complaint","negative","medium","Confusing search filters","Understand and control active search filters","Controlled wording variant 4"
"EV_078","The export button does nothing after I click it I noticed this in version 3.2.","bug","complaint","negative","high","Export action failure","Reliably export work when requested","Controlled wording variant 4"
"EV_079","Please add a yearly filter to search I noticed this in version 3.2.","feature_request","request","neutral","low","Missing historical filter","Narrow historical results efficiently","Controlled wording variant 4"
"EV_080","The app crashes every time I open my main notebook I noticed this in version 3.2.","bug","complaint","negative","critical","Blocking notebook crash","Access core notebooks without crashes","Controlled wording variant 4"
"EV_081","NovaNote feels fast after the latest update I noticed this in version 3.2.","performance","praise","positive","low","Improved application speed","Complete work with responsive performance","Controlled wording variant 4"
"EV_082","Is there a way to export all notebooks at once? I noticed this in version 3.2.","feature_request","question","neutral","low","Batch export discoverability","Move multiple notebooks efficiently","Controlled wording variant 4"
"EV_083","The Pro plan price increased and is now too expensive for me I noticed this in version 3.2.","pricing","complaint","negative","medium","Plan affordability","Choose a plan aligned with perceived value","Controlled wording variant 4"
"EV_084","The pricing page clearly explains every plan I noticed this in version 3.2.","pricing","praise","positive","low","Clear plan comparison","Understand plan value before purchasing","Controlled wording variant 4"
"EV_085","The help article for workspace recovery is outdated I noticed this in version 3.2.","content","complaint","negative","medium","Outdated recovery guidance","Access current recovery instructions","Controlled wording variant 4"
"EV_086","Your support agent solved my login issue in five minutes I noticed this in version 3.2.","customer_service","praise","positive","low","Effective login support","Resolve access problems quickly","Controlled wording variant 4"
"EV_087","Support has not replied to my billing ticket for six days I noticed this in version 3.2.","customer_service","complaint","negative","high","Delayed billing support","Receive timely help for billing blockers","Controlled wording variant 4"
"EV_088","The sidebar labels are hard to understand I noticed this in version 3.2.","ux","complaint","negative","medium","Unclear navigation labels","Navigate product areas confidently","Controlled wording variant 4"
"EV_089","Please let me customize the sidebar order I noticed this in version 3.2.","feature_request","suggestion","neutral","low","Fixed sidebar organization","Organize navigation around personal workflow","Controlled wording variant 4"
"EV_090","Sync occasionally duplicates the same note I noticed this in version 3.2.","bug","complaint","negative","medium","Duplicate notes after sync","Keep synchronized content consistent","Controlled wording variant 4"
"EV_091","Startup uses too much memory and slows my laptop I noticed this in version 3.2.","performance","complaint","negative","high","High startup resource use","Open the app without degrading the device","Controlled wording variant 4"
"EV_092","The tutorial says to click a menu that no longer exists I noticed this in version 3.2.","content","complaint","negative","medium","Obsolete onboarding content","Follow accurate product instructions","Controlled wording variant 4"
"EV_093","I received a verification code but the login screen was easy to use I noticed this in version 3.2.","ux","praise","positive","low","Clear verification flow","Complete authentication confidently","Controlled wording variant 4"
"EV_094","The app is okay, but I have not used search enough to judge it I noticed this in version 3.2.","other","other","neutral","low","Insufficient usage context","Evaluate the product after adequate use","Controlled wording variant 4"
"EV_095","Search is fast, but the results miss notes saved last month I noticed this in version 3.2.","bug","complaint","negative","high","Missing historical search results","Retrieve previously saved notes accurately","Controlled wording variant 4"
"EV_096","Dark mode would make evening writing more comfortable I noticed this in version 3.2.","feature_request","suggestion","positive","low","Missing low-light appearance","Write comfortably in low-light settings","Controlled wording variant 4"
"EV_097","The editor deleted my unsaved paragraph after reconnecting I noticed this in version 3.2.","bug","complaint","negative","critical","Unsaved content loss","Protect writing during connectivity changes","Controlled wording variant 4"
"EV_098","Why was I charged twice for one monthly subscription? I noticed this in version 3.2.","pricing","question","negative","high","Duplicate subscription charge","Trust billing accuracy and understand charges","Controlled wording variant 4"
"EV_099","The release notes are concise and useful I noticed this in version 3.2.","content","praise","positive","low","Useful release communication","Understand product changes efficiently","Controlled wording variant 4"
"EV_100","Login takes fifteen seconds and then the verification code expires I noticed this in version 3.2.","performance","complaint","negative","high","Slow authentication flow","Access the workspace before credentials expire","Controlled wording variant 4"
