id,content,gold_pain_point,pred_pain_point,pain_point_score,pain_point_note,gold_user_need,pred_user_need,user_need_score,user_need_note,hallucination_flag
EV_001,Search results take twelve seconds to appear in my large workspace,Slow search results,slow loading,,,Get search results quickly during core retrieval,faster search results,,,
EV_002,Search filters are confusing and I cannot tell which ones are active,Confusing search filters,discoverability,,,Understand and control active search filters,clarify active search filter states,,,
EV_003,The export button does nothing after I click it,Export action failure,deterministic malfunction,,,Reliably export work when requested,Export functionality,,,
EV_004,Please add a yearly filter to search,Missing historical filter,Lack of yearly filter in search functionality,,,Narrow historical results efficiently,Enhanced search filtering capabilities,,,
EV_005,The app crashes every time I open my main notebook,Blocking notebook crash,app_crash,,,Access core notebooks without crashes,app_stability,,,
EV_006,NovaNote feels fast after the latest update,Improved application speed,startup_speed,,,Complete work with responsive performance,faster startup,,,
EV_007,Is there a way to export all notebooks at once?,Batch export discoverability,lack_of_batch_export_capability,,,Move multiple notebooks efficiently,ability_to_export_multiple_notebooks_simultaneously,,,
EV_008,The Pro plan price increased and is now too expensive for me,Plan affordability,cost,,,Choose a plan aligned with perceived value,affordable pricing options,,,
EV_009,The pricing page clearly explains every plan,Clear plan comparison,none,,,Understand plan value before purchasing,None - User is providing positive feedback.,,,
EV_010,The help article for workspace recovery is outdated,Outdated recovery guidance,outdated_content,,,Access current recovery instructions,accurate_help_content,,,
EV_011,Your support agent solved my login issue in five minutes,Effective login support,login,,,Resolve access problems quickly,efficient support resolution,,,
EV_012,Support has not replied to my billing ticket for six days,Delayed billing support,Support Response,,,Receive timely help for billing blockers,Timely support response,,,
EV_013,The sidebar labels are hard to understand,Unclear navigation labels,discoverability,,,Navigate product areas confidently,Improve clarity of sidebar labels to enhance navigation.,,,
EV_014,Please let me customize the sidebar order,Fixed sidebar organization,lack of customization,,,Organize navigation around personal workflow,flexible interface layout,,,
EV_015,Sync occasionally duplicates the same note,Duplicate notes after sync,data integrity,,,Keep synchronized content consistent,Ensure unique note creation during synchronization to prevent data duplication.,,,
EV_016,Startup uses too much memory and slows my laptop,High startup resource use,high resource use,,,Open the app without degrading the device,reduce startup resource consumption and improve initial launch speed,,,
EV_017,The tutorial says to click a menu that no longer exists,Obsolete onboarding content,confusing navigation,,,Follow accurate product instructions,Update or remove outdated tutorial content to ensure accurate navigation guidance.,,,
EV_018,I received a verification code but the login screen was easy to use,Clear verification flow,none,,,Complete authentication confidently,positive reinforcement of current UX,,,
EV_019,"The app is okay, but I have not used search enough to judge it",Insufficient usage context,insufficient usage,,,Evaluate the product after adequate use,lack of search usage,,,
EV_020,"Search is fast, but the results miss notes saved last month",Missing historical search results,discoverability,,,Retrieve previously saved notes accurately,improve search result accuracy to include all saved notes regardless of date,,,
EV_021,Dark mode would make evening writing more comfortable,Missing low-light appearance,Evening writing discomfort,,,Write comfortably in low-light settings,Improve visual comfort for evening use cases,,,
EV_022,The editor deleted my unsaved paragraph after reconnecting,Unsaved content loss,data loss,,,Protect writing during connectivity changes,Ensure unsaved content is preserved or recoverable after reconnection to prevent data loss.,,,
EV_023,Why was I charged twice for one monthly subscription?,Duplicate subscription charge,duplicate charge,,,Trust billing accuracy and understand charges,resolution of billing error,,,
EV_024,The release notes are concise and useful,Useful release communication,none,,,Understand product changes efficiently,Positive feedback on content quality,,,
EV_025,Login takes fifteen seconds and then the verification code expires,Slow authentication flow,slow startup,,,Access the workspace before credentials expire,faster login,,,
EV_026,Search results take twelve seconds to appear in my large workspace On desktop.,Slow search results,slow loading,,,Get search results quickly during core retrieval,faster search results,,,
EV_027,Search filters are confusing and I cannot tell which ones are active On desktop.,Confusing search filters,discoverability,,,Understand and control active search filters,Clear visual feedback on active search filters,,,
EV_028,The export button does nothing after I click it On desktop.,Export action failure,deterministic malfunction,,,Reliably export work when requested,Export functionality is not working.,,,
