id,content,gold_category,gold_intent,gold_sentiment,gold_severity,gold_pain_point,gold_user_need,notes
"EV_001","Search results take twelve seconds to appear in my large workspace","performance","complaint","negative","high","Slow search results","Get search results quickly during core retrieval","Base boundary sample"
"EV_002","Search filters are confusing and I cannot tell which ones are active","ux","complaint","negative","medium","Confusing search filters","Understand and control active search filters","Base boundary sample"
"EV_003","The export button does nothing after I click it","bug","complaint","negative","high","Export action failure","Reliably export work when requested","Base boundary sample"
"EV_004","Please add a yearly filter to search","feature_request","request","neutral","low","Missing historical filter","Narrow historical results efficiently","Base boundary sample"
"EV_005","The app crashes every time I open my main notebook","bug","complaint","negative","critical","Blocking notebook crash","Access core notebooks without crashes","Base boundary sample"
"EV_006","NovaNote feels fast after the latest update","performance","praise","positive","low","Improved application speed","Complete work with responsive performance","Base boundary sample"
"EV_007","Is there a way to export all notebooks at once?","feature_request","question","neutral","low","Batch export discoverability","Move multiple notebooks efficiently","Base boundary sample"
"EV_008","The Pro plan price increased and is now too expensive for me","pricing","complaint","negative","medium","Plan affordability","Choose a plan aligned with perceived value","Base boundary sample"
"EV_009","The pricing page clearly explains every plan","pricing","praise","positive","low","Clear plan comparison","Understand plan value before purchasing","Base boundary sample"
"EV_010","The help article for workspace recovery is outdated","content","complaint","negative","medium","Outdated recovery guidance","Access current recovery instructions","Base boundary sample"
"EV_011","Your support agent solved my login issue in five minutes","customer_service","praise","positive","low","Effective login support","Resolve access problems quickly","Base boundary sample"
"EV_012","Support has not replied to my billing ticket for six days","customer_service","complaint","negative","high","Delayed billing support","Receive timely help for billing blockers","Base boundary sample"
"EV_013","The sidebar labels are hard to understand","ux","complaint","negative","medium","Unclear navigation labels","Navigate product areas confidently","Base boundary sample"
"EV_014","Please let me customize the sidebar order","feature_request","suggestion","neutral","low","Fixed sidebar organization","Organize navigation around personal workflow","Base boundary sample"
"EV_015","Sync occasionally duplicates the same note","bug","complaint","negative","medium","Duplicate notes after sync","Keep synchronized content consistent","Base boundary sample"
"EV_016","Startup uses too much memory and slows my laptop","performance","complaint","negative","high","High startup resource use","Open the app without degrading the device","Base boundary sample"
"EV_017","The tutorial says to click a menu that no longer exists","content","complaint","negative","medium","Obsolete onboarding content","Follow accurate product instructions","Base boundary sample"
"EV_018","I received a verification code but the login screen was easy to use","ux","praise","positive","low","Clear verification flow","Complete authentication confidently","Base boundary sample"
"EV_019","The app is okay, but I have not used search enough to judge it","other","other","neutral","low","Insufficient usage context","Evaluate the product after adequate use","Base boundary sample"
"EV_020","Search is fast, but the results miss notes saved last month","bug","complaint","negative","high","Missing historical search results","Retrieve previously saved notes accurately","Base boundary sample"
