id,content,gold_pain_point,pred_pain_point,pain_point_score,pain_point_note,gold_user_need,pred_user_need,user_need_score,user_need_note,hallucination_flag,reviewer_type
EV_001,Search results take twelve seconds to appear in my large workspace,Slow search results,slow loading,2,Semantically matches the core user problem.,Get search results quickly during core retrieval,faster search results,2,Captures the underlying need.,0,AI_PROXY
EV_002,Search filters are confusing and I cannot tell which ones are active,Confusing search filters,discoverability,1,"Related but generic, surface-level, or partially mismatched.",Understand and control active search filters,clarify active search filter states,2,Captures the underlying need.,0,AI_PROXY
EV_003,The export button does nothing after I click it,Export action failure,deterministic malfunction,1,"Related but generic, surface-level, or partially mismatched.",Reliably export work when requested,Export functionality,1,Relevant but mostly restates the issue or requested solution.,0,AI_PROXY
EV_004,Please add a yearly filter to search,Missing historical filter,Lack of yearly filter in search functionality,2,Semantically matches the core user problem.,Narrow historical results efficiently,Enhanced search filtering capabilities,1,Relevant but mostly restates the issue or requested solution.,0,AI_PROXY
EV_005,The app crashes every time I open my main notebook,Blocking notebook crash,app_crash,2,Semantically matches the core user problem.,Access core notebooks without crashes,app_stability,2,Captures the underlying need.,0,AI_PROXY
EV_006,NovaNote feels fast after the latest update,Improved application speed,startup_speed,1,"Related but generic, surface-level, or partially mismatched.",Complete work with responsive performance,faster startup,1,Relevant but mostly restates the issue or requested solution.,1,AI_PROXY
EV_007,Is there a way to export all notebooks at once?,Batch export discoverability,lack_of_batch_export_capability,2,Semantically matches the core user problem.,Move multiple notebooks efficiently,ability_to_export_multiple_notebooks_simultaneously,1,Relevant but mostly restates the issue or requested solution.,0,AI_PROXY
EV_008,The Pro plan price increased and is now too expensive for me,Plan affordability,cost,2,Semantically matches the core user problem.,Choose a plan aligned with perceived value,affordable pricing options,1,Relevant but mostly restates the issue or requested solution.,0,AI_PROXY
EV_009,The pricing page clearly explains every plan,Clear plan comparison,none,0,Misses or contradicts the labeled user problem.,Understand plan value before purchasing,None - User is providing positive feedback.,0,"Missing, unrelated, or not an underlying need.",0,AI_PROXY
EV_010,The help article for workspace recovery is outdated,Outdated recovery guidance,outdated_content,2,Semantically matches the core user problem.,Access current recovery instructions,accurate_help_content,2,Captures the underlying need.,0,AI_PROXY
EV_011,Your support agent solved my login issue in five minutes,Effective login support,login,1,"Related but generic, surface-level, or partially mismatched.",Resolve access problems quickly,efficient support resolution,2,Captures the underlying need.,0,AI_PROXY
EV_012,Support has not replied to my billing ticket for six days,Delayed billing support,Support Response,2,Semantically matches the core user problem.,Receive timely help for billing blockers,Timely support response,2,Captures the underlying need.,0,AI_PROXY
EV_013,The sidebar labels are hard to understand,Unclear navigation labels,discoverability,1,"Related but generic, surface-level, or partially mismatched.",Navigate product areas confidently,Improve clarity of sidebar labels to enhance navigation.,2,Captures the underlying need.,0,AI_PROXY
EV_014,Please let me customize the sidebar order,Fixed sidebar organization,lack of customization,2,Semantically matches the core user problem.,Organize navigation around personal workflow,flexible interface layout,1,Relevant but mostly restates the issue or requested solution.,0,AI_PROXY
EV_015,Sync occasionally duplicates the same note,Duplicate notes after sync,data integrity,1,"Related but generic, surface-level, or partially mismatched.",Keep synchronized content consistent,Ensure unique note creation during synchronization to prevent data duplication.,2,Captures the underlying need.,0,AI_PROXY
EV_016,Startup uses too much memory and slows my laptop,High startup resource use,high resource use,2,Semantically matches the core user problem.,Open the app without degrading the device,reduce startup resource consumption and improve initial launch speed,2,Captures the underlying need.,0,AI_PROXY
EV_017,The tutorial says to click a menu that no longer exists,Obsolete onboarding content,confusing navigation,1,"Related but generic, surface-level, or partially mismatched.",Follow accurate product instructions,Update or remove outdated tutorial content to ensure accurate navigation guidance.,1,Relevant but mostly restates the issue or requested solution.,0,AI_PROXY
EV_018,I received a verification code but the login screen was easy to use,Clear verification flow,none,0,Misses or contradicts the labeled user problem.,Complete authentication confidently,positive reinforcement of current UX,0,"Missing, unrelated, or not an underlying need.",0,AI_PROXY
EV_019,"The app is okay, but I have not used search enough to judge it",Insufficient usage context,insufficient usage,2,Semantically matches the core user problem.,Evaluate the product after adequate use,lack of search usage,1,Relevant but mostly restates the issue or requested solution.,0,AI_PROXY
EV_020,"Search is fast, but the results miss notes saved last month",Missing historical search results,discoverability,1,"Related but generic, surface-level, or partially mismatched.",Retrieve previously saved notes accurately,improve search result accuracy to include all saved notes regardless of date,2,Captures the underlying need.,0,AI_PROXY
EV_021,Dark mode would make evening writing more comfortable,Missing low-light appearance,Evening writing discomfort,2,Semantically matches the core user problem.,Write comfortably in low-light settings,Improve visual comfort for evening use cases,2,Captures the underlying need.,0,AI_PROXY
EV_022,The editor deleted my unsaved paragraph after reconnecting,Unsaved content loss,data loss,2,Semantically matches the core user problem.,Protect writing during connectivity changes,Ensure unsaved content is preserved or recoverable after reconnection to prevent data loss.,2,Captures the underlying need.,0,AI_PROXY
EV_023,Why was I charged twice for one monthly subscription?,Duplicate subscription charge,duplicate charge,2,Semantically matches the core user problem.,Trust billing accuracy and understand charges,resolution of billing error,1,Relevant but mostly restates the issue or requested solution.,0,AI_PROXY
EV_024,The release notes are concise and useful,Useful release communication,none,0,Misses or contradicts the labeled user problem.,Understand product changes efficiently,Positive feedback on content quality,1,Relevant but mostly restates the issue or requested solution.,0,AI_PROXY
EV_025,Login takes fifteen seconds and then the verification code expires,Slow authentication flow,slow startup,1,"Related but generic, surface-level, or partially mismatched.",Access the workspace before credentials expire,faster login,1,Relevant but mostly restates the issue or requested solution.,0,AI_PROXY
EV_026,Search results take twelve seconds to appear in my large workspace On desktop.,Slow search results,slow loading,2,Semantically matches the core user problem.,Get search results quickly during core retrieval,faster search results,2,Captures the underlying need.,0,AI_PROXY
EV_027,Search filters are confusing and I cannot tell which ones are active On desktop.,Confusing search filters,discoverability,1,"Related but generic, surface-level, or partially mismatched.",Understand and control active search filters,Clear visual feedback on active search filters,2,Captures the underlying need.,0,AI_PROXY
